#mu         density         sigma_xx         sigma_xy         alpha_xx         alpha_xy         beta_xx         beta_xy
 2.40000000  0.81557342   5.10731103e-01  1.29446504e+00  -6.29481022e-03 -1.32366533e-02   1.34953714e+00  3.42017845e+00
 2.44000000  0.81922668   5.01171505e-01  1.27423575e+00  -6.33479479e-03 -1.34871351e-02   1.32427780e+00  3.36672299e+00
 2.48000000  0.82287512   4.91553236e-01  1.25363354e+00  -6.37314028e-03 -1.37328837e-02   1.29886677e+00  3.31230056e+00
 2.52000000  0.82652667   4.81878898e-01  1.23266723e+00  -6.40951902e-03 -1.39714240e-02   1.27330770e+00  3.25692048e+00
 2.56000000  0.83017952   4.72150854e-01  1.21134555e+00  -6.44420639e-03 -1.42033213e-02   1.24760501e+00  3.20059508e+00
 2.60000000  0.83383172   4.62370983e-01  1.18967528e+00  -6.47764069e-03 -1.44304883e-02   1.22176358e+00  3.14333966e+00
 2.64000000  0.83747865   4.52540843e-01  1.16766152e+00  -6.51010827e-03 -1.46544891e-02   1.19578837e+00  3.08517069e+00
 2.68000000  0.84111865   4.42661925e-01  1.14530881e+00  -6.54167635e-03 -1.48758836e-02   1.16968415e+00  3.02610442e+00
 2.72000000  0.84475211   4.32735802e-01  1.12262206e+00  -6.57227407e-03 -1.50944152e-02   1.14345553e+00  2.96615668e+00
 2.76000000  0.84837914   4.22764166e-01  1.09960683e+00  -6.60179448e-03 -1.53094883e-02   1.11710706e+00  2.90534320e+00
 2.80000000  0.85200196   4.12748794e-01  1.07626932e+00  -6.63015397e-03 -1.55205313e-02   1.09064333e+00  2.84368015e+00
 2.84000000  0.85562188   4.02691502e-01  1.05261618e+00  -6.65730650e-03 -1.57271382e-02   1.06406900e+00  2.78118438e+00
 2.88000000  0.85923937   3.92594119e-01  1.02865429e+00  -6.68323405e-03 -1.59290609e-02   1.03738880e+00  2.71787353e+00
 2.92000000  0.86285540   3.82458476e-01  1.00439074e+00  -6.70793208e-03 -1.61261446e-02   1.01060752e+00  2.65376595e+00
 2.96000000  0.86647061   3.72286411e-01  9.79832808e-01  -6.73139907e-03 -1.63182668e-02   9.83729987e-01  2.58888069e+00
 3.00000000  0.87008501   3.62079770e-01  9.54987967e-01  -6.75363137e-03 -1.65053019e-02   9.56761086e-01  2.52323749e+00
 3.04000000  0.87369871   3.51840416e-01  9.29863952e-01  -6.77462162e-03 -1.66871047e-02   9.29705749e-01  2.45685681e+00
 3.08000000  0.87731188   3.41570234e-01  9.04468791e-01  -6.79435866e-03 -1.68635046e-02   9.02568965e-01  2.38975991e+00
 3.12000000  0.88092451   3.31271137e-01  8.78810845e-01  -6.81282768e-03 -1.70343032e-02   8.75355791e-01  2.32196892e+00
 3.16000000  0.88453648   3.20945066e-01  8.52898838e-01  -6.83001016e-03 -1.71992698e-02   8.48071364e-01  2.25350692e+00
 3.20000000  0.88814808   3.10593993e-01  8.26741876e-01  -6.84588403e-03 -1.73581413e-02   8.20720902e-01  2.18439803e+00
 3.24000000  0.89176052   3.00219922e-01  8.00349435e-01  -6.86042451e-03 -1.75106284e-02   7.93309701e-01  2.11466733e+00
 3.28000000  0.89537617   2.89824883e-01  7.73731339e-01  -6.87360552e-03 -1.76564310e-02   7.65843134e-01  2.04434083e+00
 3.32000000  0.89899726   2.79410939e-01  7.46897782e-01  -6.88540038e-03 -1.77952448e-02   7.38326656e-01  1.97344551e+00
 3.36000000  0.90262331   2.68980195e-01  7.19859445e-01  -6.89578024e-03 -1.79267457e-02   7.10765838e-01  1.90200965e+00
 3.40000000  0.90625046   2.58534815e-01  6.92627658e-01  -6.90471243e-03 -1.80505707e-02   6.83166407e-01  1.83006328e+00
 3.44000000  0.90987727   2.48077027e-01  6.65214432e-01  -6.91216180e-03 -1.81663362e-02   6.55534252e-01  1.75763817e+00
 3.48000000  0.91350981   2.37609106e-01  6.37632307e-01  -6.91809169e-03 -1.82736553e-02   6.27875394e-01  1.68476750e+00
 3.52000000  0.91715163   2.27133380e-01  6.09894337e-01  -6.92245870e-03 -1.83720808e-02   6.00195995e-01  1.61148585e+00
 3.56000000  0.92079577   2.16652249e-01  5.82014346e-01  -6.92521096e-03 -1.84610863e-02   5.72502407e-01  1.53782983e+00
 3.60000000  0.92444477   2.06168202e-01  5.54007016e-01  -6.92629435e-03 -1.85401537e-02   5.44801211e-01  1.46383825e+00
 3.64000000  0.92810419   1.95683805e-01  5.25887783e-01  -6.92564795e-03 -1.86087258e-02   5.17099213e-01  1.38955206e+00
 3.68000000  0.93176740   1.85201731e-01  4.97673007e-01  -6.92319845e-03 -1.86661557e-02   4.89403489e-01  1.31501455e+00
 3.72000000  0.93544153   1.74724769e-01  4.69380055e-01  -6.91886229e-03 -1.87117686e-02   4.61721435e-01  1.24027172e+00
 3.76000000  0.93912226   1.64255845e-01  4.41027361e-01  -6.91253882e-03 -1.87448120e-02   4.34060818e-01  1.16537242e+00
 3.80000000  0.94281433   1.53798053e-01  4.12634555e-01  -6.90410507e-03 -1.87644636e-02   4.06429863e-01  1.09036865e+00
 3.84000000  0.94651568   1.43354696e-01  3.84222571e-01  -6.89340594e-03 -1.87698152e-02   3.78837361e-01  1.01531590e+00
 3.88000000  0.95022834   1.32929341e-01  3.55813789e-01  -6.88023889e-03 -1.87598596e-02   3.51292842e-01  9.40273490e-01
 3.92000000  0.95395340   1.22525907e-01  3.27432197e-01  -6.86432826e-03 -1.87334693e-02   3.23806827e-01  8.65305053e-01
 3.96000000  0.95769137   1.12148806e-01  2.99103595e-01  -6.84528095e-03 -1.86893642e-02   2.96391237e-01  7.90479075e-01
